question,answer
"In The Matrix, what color pill does Neo take to wake up from the simulation?",Red
"What year is the original Blade Runner set in?",2019
"In The Terminator, what is the name of the AI system that becomes self-aware and launches nuclear war?",Skynet
"What 2013 film stars Joaquin Phoenix as a man who falls in love with an AI voiced by Scarlett Johansson?",Her
"In WALL-E, what is the name of the sleek white robot WALL-E falls in love with?",EVE
"In Black Mirror, the episode San Junipero features a virtual world where people can live after what happens to them?",die
"What 1984 novel by William Gibson is credited with defining the cyberpunk genre and popularized the term cyberspace?",Neuromancer
"What author wrote Do Androids Dream of Electric Sheep?, the novel Blade Runner is based on?",Philip K. Dick
"In Isaac Asimov's stories, how many Laws of Robotics are there?",3
"What corporation does Ellen Ripley work for in the Alien franchise?",Weyland-Yutani
"What is the name of the ship's computer in 2001: A Space Odyssey?",HAL 9000
"In The Fifth Element, what is the name of the supreme being Korben Dallas must protect?",Leeloo
"What 2009 film features Sam Rockwell as a man working alone on a lunar base with an AI companion named GERTY?",Moon
"What virtual world do people escape to in Ready Player One?",OASIS
"In RoboCop, what city is the film set in?",Detroit
"In Battlestar Galactica (2004), what are the robotic enemies of humanity called?",Cylons
"What streaming service produced the sci-fi anthology series Love, Death & Robots?",Netflix
"What HBO series is based on Michael Crichton's 1973 film about a robot theme park?",Westworld
"In Black Mirror, what episode features people rating each other on a 5-star system that determines their social standing?",Nosedive
"In the Dune series, what event in humanity's past led to the banning of thinking machines?",Butlerian Jihad
"What Philip K. Dick story involves a future where the government uses precognition to arrest criminals before they commit crimes?",Minority Report
"In The Hitchhiker's Guide to the Galaxy, what is the name of the depressed robot?",Marvin
"What 1988 anime film is set in a post-apocalyptic Neo-Tokyo and features psychic powers and motorcycle gangs?",Akira
"In Portal, what is the name of the malevolent AI that guides you through test chambers?",GLaDOS
"In Blade Runner 2049, what job does Ryan Gosling's character K have?",Blade Runner
"In Total Recall (1990), what planet does Arnold Schwarzenegger's character want to visit?",Mars
"What 1982 sci-fi film features a computer program brought into a digital world to fight for his freedom?",TRON
"In Interstellar, what is the name of the sarcastic robot companion?",TARS
"What actress plays the AI Samantha in Her?",Scarlett Johansson
"In District 9, what city is the alien refugee camp located near?",Johannesburg
"What Ridley Scott film is set on a spaceship called the Nostromo?",Alien
"What color do the replicants' eyes glow in Blade Runner?",Orange
"What 1999 film stars Jude Law as a genetically inferior man who assumes another's identity to become an astronaut?",Gattaca
"In The Expanse, what do Earthers call the people who live in the asteroid belt?",Belters
"What British series features technology that allows people to replay their memories through an implant behind their ear?",Black Mirror
"In Mr. Robot, what is the name of the hacker group Elliot joins?",fsociety
"What Apple TV+ series features humans raising android children on a new planet?",Raised by Wolves
"What Arthur C. Clarke novel features an alien monolith that accelerates human evolution?",2001: A Space Odyssey
"What Studio Ghibli film features a giant robot soldier from an ancient civilization?",Castle in the Sky
"In The Terminator, what model is Arnold Schwarzenegger's robot character?",T-800
